ID|ID_left|Date|Company|Title|Location|Description|Link|ID_right|Seniority level|Employment type|Job function|Industries
0|0|2021-12-07|MatchPoint Solutions|Threat Detection & Response Analyst|Nashville Metropolitan Area|error|https://www.linkedin.com/jobs/view/threat-detection-response-analyst-at-matchpoint-solutions-2829753312?refId=F1J%2BuEj3kKp9E23JArwUJA%3D%3D&trackingId=fjnBRLaeSBSROBLK4Hjalg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card|0|error|error|error|error
1|1|2021-12-07|Alderson Loop|REMOTE!!! Cyber Intrusion Analyst|Nashville, TN|error|https://www.linkedin.com/jobs/view/remote%21%21%21-cyber-intrusion-analyst-at-alderson-loop-2823059236?refId=F1J%2BuEj3kKp9E23JArwUJA%3D%3D&trackingId=kYSe8u%2BoOR6Gl5Fhj9jOYQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card|1|error|error|error|error
2|2|2021-12-07|Clearwater|Consultant, Cybersecurity/Risk|Nashville, TN|error|https://www.linkedin.com/jobs/view/consultant-cybersecurity-risk-at-clearwater-2827863364?refId=F1J%2BuEj3kKp9E23JArwUJA%3D%3D&trackingId=OCaS%2BUFn%2Bp%2BafK%2FavgIGUQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card|2|error|error|error|error
3|3|2021-12-07|Pillsbury Winthrop Shaw Pittman LLP|Cyber Security Analyst|Nashville, TN|error|https://www.linkedin.com/jobs/view/cyber-security-analyst-at-pillsbury-winthrop-shaw-pittman-llp-2831641811?refId=F1J%2BuEj3kKp9E23JArwUJA%3D%3D&trackingId=%2BgCnAjK7zCYV7wsz%2BDj3jA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card|3|error|error|error|error
4|4|2021-10-29|LBMC|Cybersecurity Analyst|Nashville, TN|error|https://www.linkedin.com/jobs/view/cybersecurity-analyst-at-lbmc-2809742719?refId=F1J%2BuEj3kKp9E23JArwUJA%3D%3D&trackingId=2ye4N7YHJs64XhBFAY7y8w%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card|4|error|error|error|error
5|5|2021-12-01|Vertek Solutions, Inc.|Critical Incident Response Analyst|Nashville Metropolitan Area|error|https://www.linkedin.com/jobs/view/critical-incident-response-analyst-at-vertek-solutions-inc-2822284117?refId=F1J%2BuEj3kKp9E23JArwUJA%3D%3D&trackingId=HfQnUCIEBY3CNvXHustIsA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card|5|error|error|error|error
6|6|2021-11-18|Vanderbilt University Medical Center|Threat Detection & Response Analyst|Nashville, TN|error|https://www.linkedin.com/jobs/view/threat-detection-response-analyst-at-vanderbilt-university-medical-center-2804388777?refId=F1J%2BuEj3kKp9E23JArwUJA%3D%3D&trackingId=uEzxuqkWsTWRhJZoTVLjmQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card|6|error|error|error|error
7|7|2021-11-09|MatchPoint Solutions|Threat Detection & Response Analyst|Nashville, TN|error|https://www.linkedin.com/jobs/view/threat-detection-response-analyst-at-matchpoint-solutions-2826707341?refId=F1J%2BuEj3kKp9E23JArwUJA%3D%3D&trackingId=yMDoFlWciXHd%2BtRssakz1w%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card|7|error|error|error|error
8|8|2021-11-30|VMware|Threat Analyst I - Opportunity for Working Remotely|Nashville, TN|error|https://www.linkedin.com/jobs/view/threat-analyst-i-opportunity-for-working-remotely-at-vmware-2813533355?refId=F1J%2BuEj3kKp9E23JArwUJA%3D%3D&trackingId=qVYjFJT3bF691QmfYWmH%2FQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card|8|error|error|error|error
9|9|2021-10-25|Monogram Health|Information Technology Security Analyst|Nashville, TN|error|https://www.linkedin.com/jobs/view/information-technology-security-analyst-at-monogram-health-2767009526?refId=F1J%2BuEj3kKp9E23JArwUJA%3D%3D&trackingId=rURXLqDTV3LZ00IG25qdyw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card|9|error|error|error|error
